    a         b   Jprime  c  d   e     J   f  g    position           h                    strength         i    l   label     m    n   o    p Kprime     q   r  s    t    u  K  v
SymmetricTop Excited  55 11  1 Ground  56  5  1  15118.6642716625     -               2.50778394827961E-5 0.0000 : pP56(56) : Excited v=1 55 55      E2u - Ground v=0 56 56 E2g
SymmetricTop Excited  31  9 10 Ground  32  3  5  15118.66252605       -               2.46745461250187E-5 0.0000 : pP3B2g(32) : Excited v=1 31  2      B2u - Ground v=0 32  3 B2g
SymmetricTop Excited  31  8 10 Ground  32  2  5  15118.66252605       -               2.46745461250187E-5 0.0000 : pP3B1g(32) : Excited v=1 31  2      B1u - Ground v=0 32  3 B1g
SymmetricTop Excited  28 11 16 Ground  29  5  9  15118.6743723025     -               2.4667190064143E-5  0.0000 : rP4(29) : Excited v=1 28  5      E2u - Ground v=0 29  4 E2g
SymmetricTop Excited  29 11 19 Ground  30  5 10  15118.6636403725     -               2.44975970667254E-5 0.0000 : rP2(30) : Excited v=1 29  3      E2u - Ground v=0 30  2 E2g
SymmetricTop Excited  54  6  1 Ground  55  0  1  15118.6645968725     -               2.43282502128493E-5 0.0000 : pP54A1g(55) : Excited v=1 54 53      A1u - Ground v=0 55 54 A1g
SymmetricTop Excited  29  6 10 Ground  30  0  6  15118.7012499525     -               5.60356964262935E-5 0.0000 : rP0(30) : Excited v=1 29  1      A1u - Ground v=0 30  0 A1g
SymmetricTop Excited  54 10  1 Ground  55  4  1  15118.69242624       -               2.93276881526105E-5 0.0000 : pP55(55) : Excited v=1 54 54      E1u - Ground v=0 55 55 E1g
SymmetricTop Excited  53 10  1 Ground  54  4  1  15118.69275145       -               2.84317364869777E-5 0.0000 : pP53(54) : Excited v=1 53 52      E1u - Ground v=0 54 53 E1g
SymmetricTop Excited  31 10 19 Ground  32  4 10  15118.70176168       -               2.83107321335059E-5 0.0000 : pP5(32) : Excited v=1 31  4      E1u - Ground v=0 32  5 E1g
SymmetricTop Excited  33 11 17 Ground  34  5  9  15118.7050376925     -               2.8082227598289E-5  0.0000 : pP10(34) : Excited v=1 33  9      E2u - Ground v=0 34 10 E2g
