Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
HD 186745,2,1.3872399252703989,0.0824063639490538,5.940310861006345,1614225727769.276,80136727530.57855,4.9644065357154705,-11.341943415591397,0.0581795473602203,0.5129592454168197,"(3.0, 3000000000000.0, -10.781556765568435)",840.091191817859,7.059589847208899,
,,5.289531133801842,0.1431150659063552,2.7056285762608128,2028082223872.9368,77748939422.74422,3.833618701823173,-7.890447482097342,0.1689474164321217,2.1411639430519873,"(3.0, 800000000000.0, -3.217557625647673)",,,
HD 186841,2,1.984805754999205,0.028339812704288,1.4278380961415214,2428260353393.988,28483261293.631813,1.1729904189977265,-11.242030226941573,0.0181945198467604,0.16184371932355385,"(1.0, 3000000000000.0, -10.888636552462282)",7233.540811185387,52.4169623998941,
,,2.000574354412261,0.067464689129142,3.372266018523571,624955276156.2466,11963045392.042538,1.9142242410721928,-5.890097105124082,0.0435877110084285,0.740016849136654,"(1.0, 600000000000.0, -6.136037196681866)",,,
HD 37020,3,1.7811220052127634,0.0939670196136555,5.275720547982938,15081551494.33658,371155682.4588313,2.460991381411969,6.541680559015845,0.0487724681643659,0.7455648089869955,"(2.0, 20000000000.0, 6.096733420253866)",35.4313136520541,0.15206572382855837,
,,2.958263089345172,0.1599142617116818,5.405680863465045,23927723702.661747,931650706.2057836,3.893603577937277,18.57706239473792,0.1052528873321367,0.566574440542065,"(1.0, 15000000000.0, 18.585555727430787)",,,
,,1.4768316844364942,0.2597748710344459,17.590012035363845,8165542757.630682,858542819.4514014,10.514216200130665,23.87260341590871,0.1443655262670747,0.6047330647266962,"(3.0, 20000000000.0, 23.174228487411764)",,,
HD 41117,2,2.294003069073776,0.0476672453785971,2.07790678317807,1008214038144.7748,11532178554.51068,1.1438224541815705,15.226255264661392,0.0313300838106518,0.20576355292929951,"(1.6, 1000000000000.0, 14.898797944662157)",26227.88760562612,104.91155042250449,
,,1.8793125461142524,0.0845433680749327,4.498632664893246,449818973968.8833,10639250581.839985,2.3652293917188043,9.653478606513948,0.0511419184938647,0.5297770946460201,"(1.0, 400000000000.0, 10.311852940989509)",,,
HD 99953,2,3.1400799195219906,0.1895003536087603,6.034889508086394,115814701130.68108,7424456852.678149,6.4106342115416455,4.878998545913533,0.1830963320791175,3.7527441411613482,"(1.0, 50000000000.0, 4.52090296936374)",603.8384264846306,2.7699010389203242,
