    a         b   Jprime  c  d   e     J   f  g    position           h                    strength         i    l   label     m    n   o    p Kprime     q   r  s    t    u  K  v
SymmetricTop Excited  80  9 27 Ground  81  3 14  15118.231879028      -               1.70915853019429E-6 0.0000 : pP3B2g(81) : Excited v=1 80  2      B2u - Ground v=0 81  3 B2g
SymmetricTop Excited  80  8 27 Ground  81  2 14  15118.231879028      -               1.70915853019429E-6 0.0000 : pP3B1g(81) : Excited v=1 80  2      B1u - Ground v=0 81  3 B1g
SymmetricTop Excited  79 10 52 Ground  80  4 27  15118.219302868      -               1.70147661197501E-6 0.0000 : rP1(80) : Excited v=1 79  2      E1u - Ground v=0 80  1 E1g
SymmetricTop Excited  78 10 50 Ground  79  4 26  15118.207283544      -               1.69631770282505E-6 0.0000 : rP5(79) : Excited v=1 78  6      E1u - Ground v=0 79  5 E1g
SymmetricTop Excited  77  8 23 Ground  78  2 12  15118.195821056      -               1.69172464152633E-6 0.0000 : rP9B1g(78) : Excited v=1 77 10      B1u - Ground v=0 78  9 B1g
SymmetricTop Excited  77  9 23 Ground  78  3 12  15118.195821056      -               1.69172464152633E-6 0.0000 : rP9B2g(78) : Excited v=1 77 10      B2u - Ground v=0 78  9 B2g
SymmetricTop Excited  67  6 11 Ground  68  0  6  15118.212439959      -               1.66589971174719E-6 0.0000 : rP36A1g(68) : Excited v=1 67 37      A1u - Ground v=0 68 36 A1g
SymmetricTop Excited  67  7 11 Ground  68  1  6  15118.212439959      -               1.66589971174719E-6 0.0000 : rP36A2g(68) : Excited v=1 67 37      A2u - Ground v=0 68 36 A2g
SymmetricTop Excited  66 10 20 Ground  67  4 11  15118.2287312        -               1.66579840476852E-6 0.0000 : rP37(67) : Excited v=1 66 38      E1u - Ground v=0 67 37 E1g
SymmetricTop Excited  80 11 53 Ground  81  5 27  15118.222349367      -               1.66565313605554E-6 0.0000 : pP2(81) : Excited v=1 80  1      E2u - Ground v=0 81  2 E2g
SymmetricTop Excited  79 11 52 Ground  80  5 27  15118.209932303      -               1.66008003090431E-6 0.0000 : rP2(80) : Excited v=1 79  3      E2u - Ground v=0 80  2 E2g
SymmetricTop Excited  78  6 24 Ground  79  0 13  15118.198072075      -               1.65660563043451E-6 0.0000 : rP6A1g(79) : Excited v=1 78  7      A1u - Ground v=0 79  6 A1g
SymmetricTop Excited  78  7 24 Ground  79  1 13  15118.198072075      -               1.65660563043451E-6 0.0000 : rP6A2g(79) : Excited v=1 78  7      A2u - Ground v=0 79  6 A2g
SymmetricTop Excited  68 10 23 Ground  69  4 12  15118.196108944      -               1.65182875831277E-6 0.0000 : rP35(69) : Excited v=1 68 36      E1u - Ground v=0 69 35 E1g
SymmetricTop Excited  81 10 52 Ground  82  4 26  15118.225674284      -               1.63085528884307E-6 0.0000 : pP5(82) : Excited v=1 81  4      E1u - Ground v=0 82  5 E1g
SymmetricTop Excited  80 10 54 Ground  81  4 27  15118.21285948       -               1.62387309208706E-6 0.0000 : pP1(81) : Excited v=1 80  0    E1u - Ground v=0 81  1 E1g
SymmetricTop Excited  79  8 25 Ground  80  2 13  15118.200601512      -               1.62024377446083E-6 0.0000 : rP3B1g(80) : Excited v=1 79  4      B1u - Ground v=0 80  3 B1g
SymmetricTop Excited  79  9 25 Ground  80  3 13  15118.200601512      -               1.62024377446083E-6 0.0000 : rP3B2g(80) : Excited v=1 79  4      B2u - Ground v=0 80  3 B2g
SymmetricTop Excited  67 10 20 Ground  68  4 11  15118.204461484      -               1.60070899787373E-6 0.0000 : rP37(68) : Excited v=1 67 38      E1u - Ground v=0 68 37 E1g
SymmetricTop Excited  82 11 51 Ground  83  5 26  15118.229277619      -               1.59772447483196E-6 0.0000 : pP8(83) : Excited v=1 82  7      E2u - Ground v=0 83  8 E2g
SymmetricTop Excited  66 11 19 Ground  67  5 10  15118.220792499      -               1.59457302793313E-6 0.0000 : rP38(67) : Excited v=1 66 39      E2u - Ground v=0 67 38 E2g
SymmetricTop Excited  81 11 53 Ground  82  5 27  15118.216065075      -               1.58853532190123E-6 0.0000 : pP4(82) : Excited v=1 81  3      E2u - Ground v=0 82  4 E2g
SymmetricTop Excited  83 10 49 Ground  84  4 25  15118.233159372      -               1.56676306524156E-6 0.0000 : pP11(84) : Excited v=1 83 10      E1u - Ground v=0 84 11 E1g
