Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
,,4.102560679144352,0.13324965871404,3.2479631414453842,120468921391.128,4859387033.574424,4.033726688560105,15.919682238785644,0.1500984875349266,0.9428485147099026,"(1.0, 50000000000.0, 13.475396173876032)",,,
HD 23180,3,2.939230281229261,0.0458469494821909,1.5598284277003482,849011388988.8593,21827687639.66741,2.5709534551313107,12.444834024657816,0.0213805015789752,0.17180222361031514,"(3.0, 1000000000000.0, 12.185241299435798)",935.2721509875188,4.676360754937594,
,,2.2878837508412624,0.1189806384183619,5.200466954433866,112716052338.85756,2533111724.520728,2.2473389299560016,20.790748805893028,0.0577934109399069,0.2779765725586837,"(1.0, 80000000000.0, 20.24401283748385)",,,
,,5.999999999998033,0.0648421475628525,1.0807024593812296,255567082147.4077,22494895996.7816,8.801953603636184,6.17713263537542,0.4458881037711323,7.218367001181174,"(5.0, 200000000000.0, 3.58063141525103)",,,
HD 23466,3,0.9733236625415828,0.0743113130163326,7.634799797457697,377276301041.18335,15320933595.206562,4.060931882793808,22.847585311432944,0.0297716741598735,0.13030556075864935,"(2.0, 700000000000.0, 22.9077238524249)",55.92836341337846,0.356231614097952,
,,5.412031573787458,1.8178749675711456,33.589511494644825,46082108720.58902,23020277774.38546,49.95491398617406,16.7276549039745,2.2595091393690576,13.5076264565465,"(5.0, 40000000000.0, 14.169469813827217)",,,
,,3.637421231677898,0.1338447599485049,3.679660710804284,403137511764.98096,38826742265.351326,9.631141020681385,24.447528846598203,0.2282329862877581,0.9335626014386154,"(5.0, 80000000000.0, 28.21300295619156)",,,
HD 24398,4,0.6814899280094062,0.0264031691003263,3.874330054656636,477504546954.64233,10199107439.92551,2.1359183917665003,14.218906558985053,0.0236206300336812,0.166121283206233,"(2.0, 850000000000.0, 14.048942658761092)",393.5118492241859,1.9195699962155408,
,,2.055478388704925,0.2196822691673767,10.687646748054098,50088183969.46527,2140192328.2255952,4.27284872122794,22.416281647895048,0.1017195613789483,0.45377535389996343,"(2.0, 50000000000.0, 22.243954467760226)",,,
,,2.659030481138003,0.2917980756662616,10.973852226822869,30345897725.74176,1672441370.3927484,5.511260156176078,-4.949725815526041,0.15751633747332,3.1823245032933136,"(3.0, 50000000000.0, -4.829116757268595)",,,
,,3.6394251422150616,0.0444127759074969,1.2203239295221764,516215154844.39087,7106440636.50346,1.3766431631875748,12.78311532869579,0.0378060996594788,0.29575028220711524,"(2.0, 50000000000.0, 7.859913300328913)",,,
HD 27778,2,0.7044092035074857,0.0510012469974716,7.240286859331135,338928813869.8338,6204818316.384616,1.8307143159470611,18.6631697900253,0.0194317947159063,0.10411840504334798,"(3.0, 700000000000.0, 17.59057693158249)",4138.734360090417,24.63532357196677,
,,4.751141226575092,0.0353193720964602,0.7433871234747642,696682133907.3085,6440091326.362633,0.924394499718787,15.57085170721444,0.0073084216825305,0.04693655697166707,"(3.0, 300000000000.0, 10.57085170725588)",,,
HD 36695,2,4.427432416491794,0.0320640715079972,0.7242136862114793,860337084838.7316,4257610878.007477,0.4948770607517816,27.21242868291307,0.0201551392020197,0.07406593302227116,"(3.0, 700000000000.0, 26.41030662216091)",5121.533073899145,22.075573594392868,
,,5.370925774373287,0.0927097334262819,1.726140656581683,348280938176.37915,4354944034.332575,1.2504112505080913,10.46604185348514,0.0591428770736078,0.5650930686266414,"(5.0, 400000000000.0, 10.726581325882982)",,,
HD 66811,3,4.873450308757576,0.1525164520710553,3.129537440793921,260834794897.7934,8006208511.416029,3.0694557122078807,10.878408582204234,0.096066717130833,0.8830953204679826,"(3.0, 200000000000.0, 10.580491441330956)",548.9148086377146,1.8116000285073088,
,,5.247307649146438,0.1596038047077444,3.0416323070690665,220691161458.4831,7034245975.906758,3.187370952882522,21.034268993254827,0.1395439658943851,0.6634124815040324,"(5.0, 230000000000.0, 19.979673398513054)",,,
,,5.999999996523987,0.1813912868676991,3.023188116213092,197499885634.7723,3214227350.740052,1.6274578288536221,-3.132031246203776,0.0824953236604301,2.63392403126309,"(5.0, 200000000000.0, -3.709988258292069)",,,
HD 93030,2,4.248217113077844,0.0615105460832676,1.4479143708053812,265308415396.6085,2596715487.662897,0.9787535324807084,8.889153407494568,0.0375247775024527,0.42214118468036604,"(5.0, 300000000000.0, 8.30962037355912)",452.45707500144243,2.3688852094316357,
,,3.272757853595551,0.0897606231088058,2.7426600782637203,137451990285.41006,2440629800.919838,1.7756234710403465,18.568354410653946,0.0540781691554707,0.2912383507956005,"(3.0, 140000000000.0, 18.175551136530306)",,,
