wno	int
27060.82255	650.6936
27061.26102	590.2924
27061.6995	590.688
27062.13799	672.2592
27062.5765	726.8346
27063.01502	671.3248
27063.45355	657.898
27063.8921	665.89762
27064.33067	641.0528
27064.76925	702.8115
27065.20784	734.9663
27065.64645	610.6141
27066.08507	632.6827
27066.5237	563.6604
27066.96235	526.9901
27067.40102	464.898
27067.8397	413.4249
27068.27839	399.038
27068.7171	450.8898
27069.15582	449.28239
27069.59455	435.89283
27070.0333	456.8897
27070.47207	459.87118
27070.91084	457.2127
27071.34964	447.899
27071.78844	435.56797
27072.22726	441.47791
27072.6661	430.1541
27073.10495	485.9956
27073.54381	479.66195
27073.98269	475.2616
27074.42158	467.32131
27074.86049	467.1536
27075.29941	573.2591
27075.73834	523.0112
27076.17729	508.62379
27076.61626	522.3249
27077.05523	542.8907
27077.49423	579.1584
27077.93323	492.5452
27078.37225	416.3633
27078.81129	459.597
27079.25034	488.60895
27079.6894	483.9179
27080.12848	473.6009
27080.56757	458.6881
27081.00668	455.73703
27081.4458	457.6156
27081.88493	461.0709
27082.32408	492.2801
27082.76325	406.8228
27083.20242	386.19925
27083.64162	394.8773
27084.08082	402.69659
27084.52004	386.18955
27084.95928	383.6755
27085.39853	385.97876
27085.83779	382.02032
27086.27707	394.8756
27086.71636	397.92139
27087.15567	385.9682
27087.59499	475.4504
27088.03432	433.7849
27088.47367	483.8611
27088.91303	511.93285
27089.35241	512.6765
27089.7918	504.75326
27090.23121	525.63127
27090.67063	531.57352
27091.11006	533.9381
27091.54951	587.0714
27091.98898	630.3967
27092.42846	703.735
27092.86795	762.9184
27093.30745	722.3214
27093.74697	865.1572
27094.18651	787.8146
27094.62606	905.7159
27095.06562	924.0353
27095.5052	837.8808
27095.94479	951.897
27096.3844	890.9161
27096.82402	1002.082
27097.26365	908.3345
27097.7033	858.1316
27098.14297	962.8509
27098.58265	982.4893
27099.02234	960.0623
27099.46204	779.7062
27099.90176	897.0373
27100.3415	819.6509
27100.78125	765.521
27101.22101	580.6874
27101.66079	599.4675
27102.10058	534.584
27102.54039	496.5529
27102.98021	580.214
27103.42005	583.0219
27103.8599	619.59433
27104.29976	622.5871
27104.73964	560.1947
27105.17953	676.8531
27105.61944	688.2516
27106.05936	700.49874
27106.4993	702.8895
27106.93925	780.4734
27107.37921	702.977
27107.81919	790.5652
27108.25918	764.6719
27108.69919	845.0486
27109.13921	858.446
27109.57925	738.5386
27110.0193	734.4055
27110.45936	716.775
27110.89944	697.05171
27111.33953	696.75763
27111.77964	698.2053
27112.21976	594.3322
27112.6599	594.66504
27113.10005	611.5907
27113.54021	608.38835
27113.98039	606.9207
27114.42058	675.881
27114.86079	604.1293
27115.30101	711.0943
27115.74125	714.7914
27116.1815	660.8791
27116.62177	574.0315
27117.06205	579.06025
27117.50234	558.03376
27117.94265	558.566
27118.38297	575.59453
27118.82331	544.8673
27119.26366	525.8721
27119.70402	498.88646
27120.1444	527.3825
27120.5848	393.6464
27121.02521	408.74608
27121.46563	395.50546
27121.90607	389.784
27122.34652	390.03246
27122.78698	376.34876
27123.22746	365.89849
27123.66796	355.67296
27124.10847	363.6638
27124.54899	367.8326
27124.98953	388.38876
27125.43008	391.64309
27125.87065	404.6785
27126.31123	406.01658
27126.75182	401.1058
27127.19243	403.61896
27127.63305	433.096
27128.07369	467.9926
27128.51434	395.6992
27128.95501	422.40464
27129.39569	416.0431
27129.83639	369.686
27130.2771	341.02925
27130.71782	355.667
27131.15856	359.4729
27131.59931	370.13391
27132.04008	358.0084
27132.48086	343.32442
27132.92166	357.0441
27133.36247	367.46883
27133.80329	359.16459
27134.24413	353.97035
27134.68498	350.20118
27135.12585	360.37
27135.56673	359.24934
27136.00763	351.8599
27136.44854	351.54637
27136.88947	362.55987
27137.33041	336.3297
27137.77136	424.3334
27138.21233	363.8694
27138.65331	392.2394
27139.09431	482.2892
27139.53532	453.1721
27139.97634	448.7419
27140.41738	466.5048
27140.85844	504.408
27141.29951	507.1723
27141.74059	506.26325
27142.18169	501.94419
27142.6228	506.46645
27143.06393	490.637
27143.50507	546.9105
27143.94622	562.25369
27144.38739	557.8662
27144.82858	424.9315
27145.26977	461.6436
27145.71099	473.8892
27146.15221	476.13682
27146.59346	448.4899
27147.03471	430.3344
27147.47598	415.18236
27147.91727	438.7372
27148.35857	371.8096
27148.79988	388.88149
27149.24121	385.30476
27149.68255	391.972
27150.1239	414.8298
27150.56528	424.4406
27151.00666	442.0661
27151.44806	366.4303
27151.88947	392.1427
27152.3309	386.22336
27152.77235	383.1368
27153.2138	414.88524
27153.65527	416.6302
27154.09676	383.50248
27154.53826	387.3542
27154.97978	423.3651
27155.4213	364.6325
27155.86285	385.5553
27156.30441	392.39704
27156.74598	386.33128
27157.18757	383.41838
27157.62917	355.0399
27158.07078	349.53363
27158.51241	349.3512
27158.95406	352.86829
27159.39572	341.50123
27159.83739	344.54868
27160.27908	342.457
