wno	int
32327.30857	34.39547
32326.99296	-4.02515
32326.6805	18.21644
32326.36805	58.23253
32326.05246	87.53347
32325.74002	25.83833
32325.42758	81.60198
32325.11201	101.98075
32324.79959	89.44019
32324.48717	63.87297
32324.17057	31.77307
32323.85817	-14.82825
32323.54576	-71.28899
32323.23337	-17.59664
32322.91784	-74.2731
32322.60546	-20.04705
32322.29308	45.62911
32321.97758	98.16618
32321.66521	72.84389
32321.35285	100.80315
32321.03737	100.04475
32320.72502	62.1552
32320.41163	53.54415
32320.0993	44.31857
32319.78383	96.89278
32319.47151	91.75979
32319.1592	59.77442
32318.84375	77.49098
32318.53145	112.11371
32318.21915	4.56629
32317.90372	11.09892
32317.59143	38.66271
32317.27915	-32.08576
32316.96688	-73.27707
32316.65043	3.80161
32316.33817	-3.7995
32316.02591	14.10456
32315.71053	36.74613
32315.39829	128.05626
32315.08605	139.27826
32314.77068	159.22914
32314.45846	125.57477
32314.14624	144.08251
32313.83089	20.89636
32313.51868	20.91512
32313.20544	-57.95092
32312.89324	-29.34603
32312.57792	-53.30927
32312.26574	-1.16651
32311.95356	-39.32962
32311.63825	27.96136
32311.32609	-0.09277
32311.01393	36.39778
32310.69864	14.07357
32310.3865	49.48314
32310.07436	36.07276
32309.76118	45.8219
32309.44592	-4.65066
32309.13379	96.62544
32308.82167	55.48274
32308.50643	51.68182
32308.19433	56.14264
32307.88223	45.05932
32307.567	-36.94521
32307.25492	-6.80773
32306.94284	-42.43443
32306.62763	-30.75831
32306.31452	-2.12679
32306.00246	7.04969
32305.6904	-14.51427
32305.37522	16.77221
32305.06317	5.61731
32304.75113	22.26465
32304.43597	-11.72967
32304.12394	-10.95215
32303.81192	-59.45364
32303.49678	-77.17301
32303.18477	-92.72603
32302.87277	-64.31962
32302.55973	-44.59968
32302.24461	12.53855
32301.93262	17.38441
32301.62065	51.91828
32301.30554	67.67019
32300.99358	-1.36381
32300.68162	-42.7109
32300.36653	-17.47871
32300.05459	-44.48057
32299.74265	-32.74073
32299.42758	13.9258
32299.11461	58.40862
32298.80268	18.75793
32298.49077	69.4813
32298.17572	21.97656
32297.86382	35.90928
32297.55192	24.28048
32297.2369	7.14937
32296.92501	7.2859
32296.61313	28.21492
32296.29812	18.28146
32295.98625	41.23794
32295.67439	67.75684
32295.36149	31.91598
32295.04651	31.58501
32294.73467	78.15303
32294.42283	34.62594
32294.10787	42.08848
32293.79604	120.32687
32293.48422	127.34299
32293.16927	58.62546
32292.85747	71.59344
32292.54566	45.18767
32292.23074	-0.54951
32291.9179	-24.00732
32291.60612	27.94751
32291.29434	38.03583
32290.97944	43.10003
32290.66767	117.22358
32290.35591	134.11827
32290.04103	174.95713
32289.72928	183.2028
32289.41754	323.35228
32289.10268	360.11536
32288.79095	506.67047
32288.47818	662.58439
32288.16646	939.8689
32287.85162	1086.36346
32287.53992	1132.74237
32287.22822	1220.24092
32286.91339	1309.63432
32286.60171	1197.94917
32286.29002	1209.95738
32285.97522	1224.53584
32285.66355	1251.04053
32285.35189	1177.94677
32285.03606	1160.52348
32284.72441	1016.21351
32284.41276	962.25077
32284.10112	842.17031
32283.78636	703.78261
32283.47473	540.88145
32283.16311	462.9044
32282.84837	383.49439
32282.53676	276.98444
32282.22516	288.18259
32281.91043	313.32403
32281.59884	297.4973
32281.28622	278.68769
32280.97464	242.91273
32280.65994	112.54518
32280.34837	116.78503
32280.03681	57.9473
32279.72213	86.87103
32279.41058	58.83633
32279.09903	66.94987
32278.78437	46.04811
32278.47284	66.69464
32278.16132	9.1585
32277.8498	31.44858
32277.53412	31.86254
32277.22261	52.46205
32276.91111	22.93378
32276.59649	4.03646
32276.285	34.32211
32275.97352	52.14243
32275.65891	21.15204
32275.34744	89.60566
32275.03598	51.08018
32274.7214	45.65302
32274.40994	39.44969
32274.09745	56.19717
32273.78601	16.90888
32273.47145	116.75252
32273.16003	137.49686
32272.8486	175.70596
32272.53406	137.10317
32272.22265	144.83774
32271.91125	146.43619
32271.59673	79.2544
32271.28533	42.67562
32270.97395	89.389
32270.66153	99.1013
32270.34703	20.55924
32270.03566	-8.77846
32269.7243	-0.27064
32269.40982	-45.65853
32269.09847	-13.1987
32268.78712	15.88095
32268.47266	110.35273
32268.16133	211.40065
