wno	int
23949.85317	147.42218
23949.96794	148.74782
23950.0827	153.38082
23950.19747	152.59645
23950.31224	153.40591
23950.42702	154.12664
23950.54179	154.81282
23950.65656	151.22173
23950.77134	153.40827
23950.88611	149.56036
23951.00089	148.14982
23951.11567	144.90036
23951.23045	146.698
23951.34523	149.43045
23951.46001	151.60245
23951.57479	148.78318
23951.68957	150.72245
23951.80436	148.79027
23951.91914	154.12236
23952.03393	150.09055
23952.14872	147.09709
23952.26351	146.07355
23952.3783	149.31482
23952.49309	149.03673
23952.60788	154.53118
23952.72267	148.65445
23952.83747	151.13191
23952.95226	153.41773
23953.06706	153.33973
23953.18186	151.35827
23953.29666	157.59118
23953.41146	149.36036
23953.52626	150.74036
23953.64106	144.70455
23953.75586	149.12691
23953.87067	153.93927
23953.98547	151.39909
23954.10028	157.54473
23954.21509	153.345
23954.3299	147.81655
23954.44471	150.87536
23954.55952	155.75645
23954.67433	153.58936
23954.78914	154.67218
23954.90396	150.84145
23955.01877	156.22527
23955.13359	152.47127
23955.24841	153.50791
23955.36323	153.76164
23955.47805	151.41955
23955.59287	153.237
23955.70769	156.85736
23955.82251	156.29945
23955.93734	153.99555
23956.05216	153.57536
23956.16699	153.985
23956.28182	151.31509
23956.39664	152.35218
23956.51147	154.56564
23956.6263	156.46682
23956.74114	150.39018
23956.85597	157.39864
23956.9708	160.89655
23957.08564	158.85727
23957.20047	152.80645
23957.31531	153.79209
23957.43015	158.16873
23957.54499	160.16155
23957.65983	156.95409
23957.77467	159.18282
23957.88952	157.97082
23958.00436	158.08091
23958.11921	156.87009
23958.23405	154.08782
23958.3489	159.72282
23958.46375	155.75209
23958.5786	157.89309
23958.69345	161.62718
23958.8083	153.32109
23958.92315	164.84145
23959.03801	158.69382
23959.15286	157.66445
23959.26772	155.33618
23959.38257	162.75345
23959.49743	158.33509
23959.61229	158.36936
23959.72715	164.38755
23959.84201	162.08436
23959.95688	164.11891
23960.07174	158.02582
23960.18661	161.52991
23960.30147	167.654
23960.41634	161.37273
23960.53121	162.97473
23960.64608	164.57873
23960.76095	160.534
23960.87582	165.949
23960.99069	164.79791
23961.10557	161.60582
23961.22044	167.44273
23961.33532	173.08045
23961.45019	167.19609
23961.56507	164.02655
23961.67995	161.46318
23961.79483	166.37582
23961.90971	163.92955
23962.0246	167.67282
23962.13948	162.29627
23962.25436	163.08009
23962.36925	166.57036
23962.48414	167.90955
23962.59902	170.44536
23962.71391	166.43173
23962.8288	166.023
23962.9437	164.10264
23963.05859	166.59427
23963.17348	162.88918
23963.28838	168.41736
23963.40327	165.66527
23963.51817	163.241
23963.63307	157.93
23963.74797	160.76527
23963.86287	165.69027
23963.97777	166.76336
23964.09267	165.17782
23964.20757	163.06055
23964.32248	165.36227
23964.43738	165.50209
23964.55229	162.702
23964.6672	162.74155
23964.78211	166.01582
23964.89702	165.44255
23965.01193	165.00818
23965.12684	163.00964
23965.24175	162.20627
23965.35667	165.51982
23965.47158	167.23273
23965.5865	165.34964
23965.70142	164.00473
23965.81634	169.14345
23965.93126	167.38327
23966.04618	165.76464
23966.1611	161.91127
23966.27603	170.15018
23966.39095	167.55055
23966.50588	161.25755
23966.6208	165.56845
23966.73573	164.78136
23966.85066	169.60382
23966.96559	161.85418
23967.08052	169.70109
23967.19545	165.79727
23967.31039	171.40636
23967.42532	167.54127
23967.54026	163.79236
23967.65519	168.20264
23967.77013	164.40855
23967.88507	164.98755
23968.00001	172.38382
23968.11495	166.51836
23968.22989	168.711
23968.34483	167.47436
23968.45978	166.186
23968.57472	169.34
23968.68967	163.44218
23968.80462	167.37882
23968.91957	170.32973
23969.03452	167.33718
23969.14947	160.95336
23969.26442	165.16745
23969.37937	165.99218
23969.49433	158.56382
23969.60928	151.86773
23969.72424	161.522
23969.8392	163.05982
23969.95416	167.38482
23970.06911	164.52245
23970.18408	163.05191
