object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 53975,b'O7.5 Vz',NaN,NaN,4,0
HD 54439,b'B2 IIIn',NaN,NaN,3,0
HD 54439,b'B2 IIIn',NaN,NaN,4,0
HD 54662,b'O6.5 V',NaN,NaN,3,0
HD 54662,b'O7 Vzvar?(SB2)',NaN,NaN,4,0
HD 55879,b'O9.5 II/III',NaN,NaN,3,0
HD 55879,b'O9.7 III',NaN,NaN,4,0
HD 57061,b'09 Ib',NaN,NaN,3,0
HD 57061,b'O9 II(SB2+SBE)',NaN,NaN,4,0
HD 61827,b'O8 V',NaN,NaN,3,0
HD 61827,b'B3 Iab',NaN,NaN,4,0
HD 66194,b'B2 IVpne',NaN,NaN,3,0
HD 66194,b'B2 Vne',NaN,NaN,4,0
HD 66811,b'O4 If',NaN,NaN,3,0
HD 66811,b'O4 I(n)fp',NaN,NaN,4,0
HD 73882,b'O8.5 V',NaN,NaN,3,0
HD 73882,b'O8.5 IV(SB1+SBE)',NaN,NaN,4,0
HD 75309,b'B2 Ib/II',NaN,NaN,3,0
HD 75309,b'B2 Ib/II',NaN,NaN,4,0
HD 75860,b'B1.5 Iae',NaN,NaN,3,0
HD 75860,b'BC2 Iab',NaN,NaN,4,0
HD 79186,b'B5 Ia',NaN,NaN,3,0
HD 79186,b'B5 Ia',NaN,NaN,4,0
HD 80558,b'B6 Iae',NaN,NaN,3,0
HD 80558,b'B6 Ia',NaN,NaN,4,0
HD 81188,b'B2 IV-V',NaN,NaN,3,0
HD 81188,b'---',NaN,NaN,4,0
HD 91824,b'O7 V(f)',NaN,NaN,3,0
HD 91824,b'O7 V((f))z(SB1)',NaN,NaN,4,0
HD 93030,b'B0.5 Vp',NaN,NaN,3,0
HD 93030,b'B0.2 Vp',NaN,NaN,4,0
HD 93205,b'O3 V',NaN,NaN,3,0
HD 93205,b'O3.5 V((f))+O8 V',NaN,NaN,4,0
HD 93222,b'O7 III (f)',NaN,NaN,3,0
HD 93222,b'O7 V((f))z',NaN,NaN,4,0
HD 93843,b'O5 e',NaN,NaN,3,0
HD 93843,b'O5 III(fc)SB1?',NaN,NaN,4,0
HD 94493,b'B0.5 Iab',NaN,NaN,3,0
HD 94493,b'B0.5 Ib:',NaN,NaN,4,0
HD 99953,b'B2 Ia',NaN,NaN,3,0
HD 99953,b'B2 Ia',NaN,NaN,4,0
