wno	int
18588.50307	51.79411
18588.58591	54.86576
18588.66876	56.79604
18588.7516	55.12198
18588.83444	54.38285
18588.91729	52.5723
18589.00013	52.34035
18589.08297	52.85918
18589.16582	54.36089
18589.24866	54.68905
18589.3315	54.66118
18589.41435	48.59013
18589.49719	47.8998
18589.58003	48.27368
18589.66288	53.03145
18589.74572	54.31087
18589.82856	54.60101
18589.9114	51.87279
18589.99425	52.35269
18590.07709	58.29066
18590.15993	58.31384
18590.24278	55.09658
18590.32562	50.19956
18590.40846	49.62868
18590.49131	56.00881
18590.57415	55.94419
18590.65699	53.33277
18590.73984	53.32556
18590.82268	54.65238
18590.90552	57.4272
18590.98837	56.70636
18591.07121	56.43787
18591.15405	56.63703
18591.2369	56.46579
18591.31974	55.75078
18591.40258	56.51008
18591.48543	57.11028
18591.56827	58.26475
18591.65111	61.02111
18591.73396	56.64818
18591.8168	49.66597
18591.89964	47.85689
18591.98249	48.97649
18592.06533	51.01112
18592.14817	57.20242
18592.23101	56.54102
18592.31386	50.60646
18592.3967	49.76695
18592.47954	51.49077
18592.56239	53.35115
18592.64523	54.84135
18592.72807	54.58459
18592.81092	53.91736
18592.89376	54.90178
18592.9766	58.92873
18593.05945	59.51187
18593.14229	57.6357
18593.22513	56.43811
18593.30798	56.31274
18593.39082	56.37571
18593.47366	54.64277
18593.55651	54.93214
18593.63935	58.31099
18593.72219	59.14637
18593.80504	58.26117
18593.88788	58.09457
18593.97072	59.00253
18594.05357	55.04771
18594.13641	54.8414
18594.21925	54.5497
18594.3021	53.74021
18594.38494	53.53042
18594.46778	56.58262
18594.55062	55.67217
18594.63347	53.92487
18594.71631	53.25087
18594.79915	54.26573
18594.882	55.66356
18594.96484	56.45886
18595.04768	55.81258
18595.13053	54.72078
18595.21337	54.9131
18595.29621	56.80261
18595.37906	56.48557
18595.4619	55.3838
18595.54474	55.31573
18595.62759	55.06128
18595.71043	53.8039
18595.79327	54.44782
18595.87612	54.87386
18595.95896	54.8284
18596.0418	54.51572
18596.12465	54.55001
18596.20749	56.43767
18596.29033	57.45935
18596.37318	57.93773
18596.45602	59.09935
18596.53886	58.86198
18596.62171	58.3467
18596.70455	58.53525
18596.78739	57.96929
18596.87023	57.74516
18596.95308	57.21397
18597.03592	54.89328
18597.11876	53.97638
18597.20161	54.2905
18597.28445	55.08244
18597.36729	55.52266
18597.45014	56.12309
18597.53298	56.17562
18597.61582	54.15421
18597.69867	54.0918
18597.78151	55.89775
18597.86435	55.40642
18597.9472	52.95157
18598.03004	52.58993
18598.11288	53.39175
18598.19573	55.60026
18598.27857	56.51695
18598.36141	56.92242
18598.44426	56.81266
18598.5271	56.08058
18598.60994	55.91884
18598.69279	55.77312
18598.77563	55.66191
18598.85847	54.68857
18598.94132	52.39702
18599.02416	52.88024
18599.107	55.76782
18599.18984	56.06911
18599.27269	55.921
18599.35553	55.51049
18599.43837	55.32064
18599.52122	55.83902
