Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
,,2.5384979634598626,0.1372206840147504,5.4055857436152746,793681638684.4233,22319793189.002567,2.8121846469825122,-7.263487806381879,0.0562458830988004,0.7743646660958305,"(1.0, 700000000000.0, -7.263487874180405)",,,
,,4.505782664710886,3.726818028185298,82.71189059724497,83768037371.95705,56673813000.92295,67.65565337202898,8.986050717943154,2.6234808010189696,29.19503665587441,"(2.5, 50000000000.0, 8.281045244611885)",,,
,,0.9967517826166196,2.8023231162586764,281.14553343483044,39645622255.33098,44243479342.96509,111.59738913422113,14.61153850198846,0.8455733935137153,5.787025051459453,"(1.0, 50000000000.0, 14.147745090264614)",,,
HD 185418,2,3.374807859350745,0.0229731111595681,0.680723529071896,68528494962498.88,804071218076.168,1.1733385046850702,-8.067556349710394,0.0428557917299172,0.5312115574061732,"(5, 7000000000000.0, -7.850924600766634)",5719786636392.217,9596957443.611101,
,,2.7116297657896773,0.6407231564933523,23.628710843080814,305108841821.7924,47872866017.25581,15.690422385470344,-18.05107350208855,0.3514542844574304,1.9469993538986274,"(1, 200000000000.0, -17.432890688784468)",,,
HD 185859,1,3.612076653353811,0.0207022098950236,0.5731387199604862,109856502251430.95,2739269309412.5605,2.493497656736909,-8.813091993086642,0.0356870711896286,0.4049324711193646,"(1.0, 100000000000000.0, -8.565139844136521)",208120833220801.38,422151791522.9237,
HD 23180,5,1.900610749144299,0.0092724521622557,0.4878669746780283,77113032009819.06,1017480205381.4976,1.3194659564831253,12.839420866656626,0.0175906203187762,0.13700478005560374,"(1.8, 70000000000000.0, 12.78125741686365)",647700.8961044165,1980.7366853346068,
,,2.809796469472099,2.44425357406751,86.99041374077652,16257771412.86791,8714697902.64141,53.603274897467124,28.49595767085801,1.3857173213459015,4.862855768357048,"(2.2426333773730183, 14700000000.0, 28.690626966508464)",,,
,,1.7119046590425,0.8077788424958926,47.185971381589574,40289512243.30656,8176503204.972901,20.294371288476675,20.889912205948452,0.3635600545406636,1.7403618117511237,"(2.2665404679506023, 46000000000.0, 20.71460095513879)",,,
,,0.1000000013195572,0.5199344836281654,519.9344767673326,26822984002.443146,19793827011.48711,73.79427661621916,6.639096081616091,0.0399334908298509,0.6014898766178162,"(3.0, 50000000000.0, 5.051673188313634)",,,
,,2.993754791383453,2.000629431187749,66.82676339912369,46590407252.69111,20420476495.77115,43.82978750328833,2.295406221707452,1.2399498354859813,54.01875379442151,"(3.0, 20000000000.0, 0.4942758291489653)",,,
HD 24398,3,1.6046303086901006,0.0073989456215682,0.46109970511576226,54870610862025.125,1941305975036.9272,3.537970408090476,13.119230009977665,0.006562899389402,0.05002503488703735,"(1.6793321693931047, 91300000000000.0, 12.898468684919424)",106513.32967199592,276.65799914804137,
,,5.050516426503937,0.8179120720743762,16.194622549531047,42329524363.51476,5107542946.605439,12.06614773826233,24.29442810944733,1.2882363045319143,5.302599833708207,"(3.0, 20000000000.0, 24.29560482421718)",,,
,,5.999999999924799,6.916007811743114,115.26679686382992,45699124282.36003,5120417301.395502,11.2046289328393,-4.32035547425303,0.5694064075060441,13.179619383159483,"(2.0, 50000000000.0, -3.693701391300527)",,,
