Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
,,5.999999994192348,1.0006996619993298,16.678327716132486,819913569406.7334,156131326892.85956,19.04241284917773,-12.70893535368248,0.5694308525805206,4.480555111294395,"(1, 300000000000.0, -13.70893525801102)",,,
,,5.999999997478547,15.776143339983957,262.9357224435626,23495215958.5908,88119491762.09009,375.05291254779905,-27.26610493495076,3.3710993079045863,12.363699604131499,"(3, 10000000000.0, -28.266102276039813)",,,
HD 170740,1,2.236858079894586,0.0927192510787209,4.1450663281727005,53302425617562.15,17010756811358.902,31.913663617128478,-11.675776816562978,0.0028741461819595,0.024616316559616876,"(2.236858079894586, 53302425617562.15, -11.675776816562978)",,,
HD 184915,3,1.7110354616654275,0.0922574529130112,5.391907706180028,18534473813081.0,5881665588294.8,31.733652908688033,-13.779770067219683,0.0298740867401321,0.2167966997591545,"(1.7110354616654275, 18534473813081.0, -13.779770067219683)",,,
,,0.1000000044582409,0.7316928418881116,731.6928092674835,12105228067575.098,10538627333503.955,87.05847816062699,-22.07759924548906,0.1940157783536183,0.878790199044219,"(0.1000000044582409, 12105228067575.098, -22.07759924548906)",,,
,,2.552526815066855,0.1489219069731748,5.834293535884922,795933204374.3622,25768085712.811817,3.237468366841995,-7.263487874180405,0.0840809001728105,1.1575829908341109,"(2.552526815066855, 795933204374.3622, -7.263487874180405)",,,
HD 185418,3,4.972955576082696,,,11874217794341.83,,,-8.389416984040384,,,"(3.457763571146491, 66602057693467.44, -8.389265681046274)",,,
,,0.3342901995317585,,,165345588431.329,,,-18.780143759791525,,,"(0.6814595198844265, 247187519541.1616, -18.780145043064348)",,,
,,3.833742056705635,,,34124385061.973087,,,-24.63958702135626,,,"(0.1000187955486543, 6706472788.812381, -24.797379678905983)",,,
HD 185859,1,3.043733378273366,0.0361568969415489,1.1879127521366475,104566183051753.52,709296645618.2408,0.6783231680811996,-8.565139844136521,0.1031819767944312,1.2046735800241135,"(1, 1000000000000.0, -7.854560259083145)",39344503.518547416,79644.74396467088,
HD 203532,1,1.6793321693931047,0.0120044118115228,0.7148324810487663,91340200282174.48,5201885269851.266,5.695066634166819,14.270094187576102,0.0112147607228844,0.07858925509159043,"(1, 10000000000000.0, 13.98586459250637)",185622.01201583713,494.9920320422323,
HD 23180,3,1.86652858967102,0.0185938920937815,0.9961750490550332,72012496404933.75,4531469906889.179,6.2926160501480926,12.776147673907133,0.0230957886765318,0.18077271229183256,"(3, 10000000000000.0, 12.729501558026302)",9145325795092.896,25907438513.01104,
,,1.42463830894244,5.869988459845719,412.0335963872277,12253489479.5659,18627518712.760967,152.0180740663669,28.95968724884964,2.6714606647102266,9.224756613406951,"(1, 10000000000.0, 28.68901175206294)",,,
,,3.3334731074527824,2.30825723726064,69.244813527968,79095043448.1843,35701206078.23363,45.13709648774861,20.144430474260176,3.106973640632141,15.423487125149155,"(3, 50000000000.0, 21.144430473649518)",,,
HD 24398,2,1.587477016020736,0.0127080462976522,0.8005184433792272,50853058609883.79,3005905412072.429,5.9109628687864255,13.123671783795787,0.0107472029533644,0.08189173830630474,"(2, 10000000000000.0, 13.380370168974352)",171452.01612954697,386.15318948096166,
,,5.999996994336232,3.2660545888540438,54.43427041608645,51434580111.56949,24858770823.97575,48.33085206499842,24.294428100628707,0.2541421005027476,1.0460921304674413,"(3, 40000000000.0, 25.294428087740236)",,,
