nm	int
315.35399	-2.7797
315.35701	0.15004
315.36	4.19345
315.36299	-11.97407
315.36602	-9.05859
315.36901	-0.73367
315.372	0.2174
315.37499	-2.91735
315.37801	-4.39948
315.381	1.16628
315.38399	0.92643
315.38701	5.06515
315.39	-2.6935
315.39299	3.9662
315.39601	-1.16797
315.399	3.26472
315.402	13.3285
315.40499	3.06821
315.40801	-2.15294
315.411	7.44327
315.41399	10.94037
315.41701	-10.68666
315.42	9.44995
315.42299	-2.01304
315.42601	9.46937
315.429	-9.03561
315.43199	-2.94959
315.43498	-1.41704
315.43801	-7.64499
315.441	10.4052
315.44399	-9.56743
315.44701	-4.01953
315.45	5.3583
315.45299	-1.37966
315.45601	-6.80997
315.459	-5.40711
315.46199	-6.76739
315.46501	-6.24378
315.468	-2.45134
315.471	0.61316
315.47399	1.9169
315.47701	-1.05449
315.48	-1.86196
315.48299	-7.16974
315.48601	-10.10878
315.489	-3.30688
315.49199	-4.53452
315.49501	1.27552
315.498	6.55735
315.50099	8.7105
315.50399	-2.08943
315.50701	-8.08591
315.51	-0.33704
315.51299	-1.53423
315.51601	-1.27008
315.519	-7.07743
315.52199	-2.09176
315.52501	-10.34647
315.528	-7.57771
315.53099	-3.72295
315.53401	1.54132
315.53701	2.71599
315.54	-1.01861
315.54299	4.0054
315.54601	4.88411
315.549	4.99375
315.55199	3.91528
315.55501	2.94182
315.558	-3.94335
315.56099	2.61362
315.56401	-9.12157
315.567	-9.25119
315.56999	-2.33387
315.57299	-1.47273
315.57601	-2.79293
315.579	-2.88203
315.58199	-5.22404
315.58501	-5.0791
315.588	-8.13194
315.59099	-6.12593
315.59401	-6.13083
315.597	-7.72267
315.59999	-9.75145
315.60301	-10.71851
315.60601	-4.52796
315.609	-4.00396
315.61199	0.05991
315.61501	-9.04863
315.618	-4.87039
315.62099	1.65942
315.62401	-3.6244
315.627	-9.59429
315.62999	-4.58682
315.63301	-4.97514
315.636	-7.77346
315.63899	8.11078
315.64199	-4.47127
315.64501	5.25937
315.648	4.23242
315.65099	5.99422
315.65401	8.25061
315.657	9.46798
315.65999	0.26024
315.66301	0.58304
315.666	6.37804
315.66899	3.36519
315.67201	13.75171
315.67501	4.27001
315.678	14.50001
315.68099	13.21524
315.68401	21.87398
315.687	31.88365
315.68999	40.95038
315.69301	49.81078
315.696	38.54823
315.69899	45.22476
315.70201	39.69234
315.705	42.94419
315.708	39.97665
315.71099	40.56474
315.71401	46.45151
315.717	42.79522
315.71999	37.56404
315.72301	22.22932
315.726	22.12405
315.72899	23.72112
315.73201	13.19846
315.735	13.41882
315.73799	17.96083
315.74102	2.86252
315.74401	3.60845
315.747	-2.78081
315.74999	7.41122
315.75301	1.69381
315.756	3.59312
315.75899	0.73499
315.76201	3.25097
315.765	0.08222
315.76799	5.31601
315.77101	4.717
315.774	-1.36636
315.777	-7.31986
315.77999	-0.41822
315.78301	3.98539
315.786	5.13971
315.78899	12.93801
315.79201	16.84455
315.795	10.22903
315.79799	6.72594
315.80101	3.17191
315.804	2.53198
315.80699	13.92116
315.80998	-0.78634
315.81301	5.01147
315.816	6.13673
315.81899	6.74686
315.82201	3.39962
315.825	-5.67439
315.82799	-2.36358
315.83101	2.93584
315.834	6.58363
315.83699	6.55771
315.84001	-0.30491
315.843	0.18571
315.846	6.20706
315.84899	9.31072
315.85201	-10.76235
315.855	-7.79791
315.85799	-3.36522
315.86101	-6.84515
315.864	-0.36649
315.86699	-1.05812
315.87001	-5.19998
315.873	1.18585
315.87599	9.60371
315.87899	8.214
315.88201	7.62389
315.885	12.08778
315.88799	5.66343
315.89101	10.02529
315.894	7.30034
315.89699	10.65247
315.90001	8.76812
315.903	2.62343
315.90599	-3.0978
315.90901	10.60836
315.91201	7.36414
315.915	-0.28708
315.91799	-8.79939
315.92101	2.76426
315.924	6.32251
315.92699	2.62002
315.93001	8.02882
315.933	1.27688
315.93599	4.05852
315.93901	2.06687
315.942	5.44586
315.94499	9.53634
315.94799	-1.43273
315.95101	-1.89429
315.954	2.76381
315.95699	5.47959
315.96001	-0.53831
315.963	3.99376
315.96599	1.84095
315.96901	-3.47041
315.972	-5.15892
315.97499	-6.17398
315.97801	-8.05668
315.98101	0.62214
315.984	12.36765
315.98699	-2.22089
315.99001	4.58042
315.993	-0.99262
315.99599	-2.19486
315.99901	12.60944
316.002	4.32614
316.00499	0.11352
316.00801	1.27585
316.011	-2.63245
316.01399	-0.33085
316.01699	-6.96105
316.02001	2.79974
316.023	2.09108
316.02599	-0.89101
316.02901	10.82235
316.032	-4.50911
316.03499	-1.45593
316.03801	3.03466
316.041	-0.44322
316.04399	5.37137
316.04701	0.50771
316.05001	3.94795
316.053	-3.26162
316.05599	6.12463
316.05901	-0.87496
316.062	-3.42828
316.06499	-2.50498
316.06801	-10.70147
316.071	-0.2858
316.07399	1.61644
316.07701	-1.58156
316.08	-4.55664
316.083	4.22722
316.08599	1.44453
316.08901	11.20794
316.092	-8.15086
316.09499	-4.26388
316.09801	7.82809
316.101	8.18205
316.10399	-4.33544
316.10701	-5.53815
316.11	2.69588
316.11299	6.61381
316.11602	2.21453
316.11901	12.14595
316.122	9.62516
316.12499	3.26166
316.12801	1.9835
316.131	2.47034
316.13399	3.95571
316.13701	14.76381
316.14	6.81558
316.14299	1.35595
316.14601	-0.54116
316.149	9.18152
316.152	9.48491
316.15499	-6.78588
316.15801	-1.67754
316.161	-0.21958
316.16399	-0.0953
316.16701	0.31798
316.17	1.63373
316.17299	-5.09093
316.17601	-2.88376
316.179	14.30558
316.18199	8.30908
316.18498	11.12598
316.18801	7.68603
316.191	-1.31035
316.19399	10.90457
316.19701	6.42716
316.2	4.54742
316.20299	-2.91797
316.20601	4.2455
316.209	0.72696
316.21199	0.14018
316.21501	6.11676
316.218	-4.77935
316.221	9.06995
316.22399	8.51674
316.22701	14.8887
316.23	11.49015
316.23299	9.50128
316.23601	12.51405
316.239	11.47054
316.24199	13.03617
316.24501	16.65471
