nm	int
310.07649	-69.49221
310.07799	-23.41366
310.07949	2.44738
310.08101	16.58398
310.08251	21.35593
310.084	30.08314
310.0855	9.32225
310.08699	15.30488
310.08849	5.02517
310.09001	-2.49737
310.09151	-1.79691
310.093	-8.32247
310.0945	-33.59972
310.096	-20.32453
310.09749	4.7817
310.09899	22.24731
310.10051	52.13995
310.10201	61.40038
310.1035	60.43828
310.105	44.35678
310.10649	37.13209
310.10799	-19.56842
310.10951	-20.84876
310.11101	-52.91656
310.11251	-76.597
310.114	-81.88601
310.1155	-54.86922
310.11699	-18.92463
310.11849	35.99435
310.12001	72.44637
310.12151	88.00357
310.123	106.32742
310.1245	93.12858
310.12599	85.10026
310.12749	56.45248
310.12899	51.29016
310.13051	48.29638
310.13201	33.03562
310.1335	5.68783
310.135	25.50516
310.13649	37.42915
310.13799	57.93723
310.13951	56.8207
310.14101	75.25017
310.1425	91.5291
310.144	96.99389
310.1455	67.47114
310.14699	62.59402
310.14849	41.43276
310.15001	-14.7554
310.15151	-28.12847
310.153	-8.73847
310.1545	-33.44877
310.15599	-27.5072
310.15749	-2.04223
310.15901	31.6472
310.16051	33.36299
310.16201	56.01468
310.1635	79.96058
310.165	100.39578
310.16649	58.72597
310.16799	18.77194
310.16951	21.21742
310.17101	17.17604
310.1725	0.51307
310.174	3.61335
310.17549	34.96777
310.17699	53.66604
310.17852	61.97559
310.18001	71.96009
310.18151	85.70284
310.183	85.6541
310.1845	51.14872
310.18599	46.41168
310.18749	20.86136
310.18901	11.27251
310.19051	-1.68415
310.192	16.02783
310.1935	8.85942
310.19499	52.25551
310.19649	49.77873
310.19799	72.79775
310.19951	59.68269
310.20101	72.09126
310.2025	74.46706
310.204	71.64259
310.20549	73.47767
310.20699	86.27882
310.20851	64.70105
310.21001	37.221
310.2115	40.86936
310.213	16.6092
310.2145	1.59635
310.21599	-18.70655
310.21749	-6.65003
310.21901	9.78744
310.22051	28.05089
310.222	51.293
310.2235	58.60222
310.22499	20.25815
310.22649	-25.63508
310.22801	1.08442
310.22951	-35.69836
310.23101	-46.03471
310.2325	-4.49385
