wno	int
31643.3666	1761.00171
31643.06721	1771.89209
31642.76383	1766.32092
31642.46445	1828.41577
31642.16508	1861.70728
31641.86572	1827.35681
31641.56336	1864.42285
31641.26401	1835.40381
31640.96466	1798.72913
31640.66231	1851.79016
31640.36298	1827.19312
31640.06365	1901.23926
31639.76132	1811.20056
31639.462	1827.68689
31639.16169	1791.59265
31638.86238	1860.02014
31638.56008	1776.97668
31638.26078	1813.73975
31637.96149	1800.95935
31637.6592	1789.68347
31637.35993	1797.0116
31637.06065	1790.57483
31636.75838	1831.20984
31636.45912	1814.73608
31636.15986	1818.58667
31635.86061	1924.63708
31635.55737	1933.52197
31635.25813	1879.70178
31634.95889	1885.33167
31634.65666	1838.4873
31634.35744	1848.94348
31634.05823	1894.4541
31633.75601	1857.94421
31633.45681	1874.5531
31633.15761	1823.76807
31632.85541	1817.53662
31632.55623	1879.77258
31632.25604	1841.74805
31631.95687	1907.24121
31631.6547	1976.88318
31631.35553	1989.18799
31631.05637	2062.37524
31630.75422	2018.71167
31630.45507	2049.90454
31630.15592	2049.06372
31629.85379	2006.21716
31629.55466	2057.18359
31629.25553	2081.9917
31628.95541	2147.24829
31628.6533	2140.62158
31628.35419	2169.09058
31628.05508	2103.58228
31627.75299	2089.50024
31627.4539	2144.82617
31627.15481	2060.74268
31626.85273	2076.08423
31626.55365	2093.43311
31626.25459	2110.94116
31625.95252	2145.2561
31625.65246	2149.0979
31625.35341	2163.16504
31625.05437	2110.77856
31624.75233	2052.11133
31624.45329	2171.98608
31624.15426	2147.42822
31623.85224	2190.52466
31623.55322	2195.14624
31623.25421	2178.08081
31622.9522	2236.2749
31622.6532	2335.64966
31622.35421	2406.53442
31622.05422	2326.07495
31621.75224	2385.81372
31621.45326	2430.63257
31621.15429	2366.271
31620.85232	2390.22461
31620.55336	2468.51025
31620.2544	2583.87744
31619.95246	2579.4624
31619.65351	2680.61816
31619.35457	2716.47876
31619.05264	2853.22656
31618.75272	2836.29419
31618.45379	3021.52588
31618.15488	2958.24829
31617.85297	3176.10547
31617.55407	3256.92041
31617.25517	3312.49829
31616.95328	3278.75293
31616.65439	3171.4209
31616.35551	3660.19189
31616.05363	3633.7832
31615.75476	3891.24292
31615.4559	3668.09033
31615.15604	3709.54517
31614.85419	3714.09619
31614.55534	3609.95654
31614.2565	3996.78955
31613.95467	3695.42407
31613.65583	3906.57886
31613.35701	3986.44556
31613.05519	4230.1792
31612.75638	4318.75684
31612.45757	4534.83691
31612.15577	4783.8457
31611.85598	5066.81055
31611.55719	5150.55469
31611.2584	5410.6167
31610.95662	5951.90039
31610.65785	5457.24951
31610.35908	5975.20752
31610.05732	6078.01221
31609.75856	6145.37549
31609.45981	5955.7373
31609.15807	5918.78125
31608.85933	5520.31934
31608.5596	5420.84668
31608.26087	5712.97021
31607.95915	5348.75635
31607.66043	5085.60156
31607.36172	5033.06641
31607.06002	4683.16602
31606.76132	4668.39697
31606.46262	4373.7168
31606.16094	4213.93311
31605.86226	4001.30566
31605.56358	3746.36011
31605.26091	3516.45825
31604.96224	3571.51758
31604.66358	3383.66357
31604.36493	3362.10645
31604.06328	3412.89526
31603.76464	3137.61987
31603.466	3250.60376
31603.16437	2856.35962
31602.86575	2872.82593
31602.56713	3029.36938
31602.26552	2807.24634
31601.96691	2707.30322
31601.6673	2843.60522
31601.36871	2721.4939
31601.06712	2629.88135
31600.76853	2737.12793
31600.46995	2777.427
31600.16838	2750.46606
31599.86981	2834.1731
31599.57124	2997.68628
31599.26969	2743.45239
31598.97114	2834.82617
31598.67259	2663.04272
31598.37405	2760.41309
31598.07152	2861.59009
31597.77299	2891.05566
31597.47446	2883.38599
31597.17295	3008.11255
31596.87444	2759.25317
31596.57593	2902.34424
31596.27443	2787.7063
31595.97594	2929.26563
