Wavelength          	  Flux
1.730859552161860483e+04 9.919753594083748904e-01
1.730853560482059038e+04 9.927193227845249046e-01
1.730847568843739646e+04 9.928463096364632534e-01
1.730841577246901943e+04 9.936906152586227892e-01
1.730835585691545202e+04 9.954978678886330368e-01
1.730829594177669424e+04 9.903446126613379974e-01
1.730823602705274971e+04 9.933010811873627111e-01
1.730817611274360024e+04 9.920571737476535645e-01
1.730811619884923857e+04 9.908356746094849621e-01
1.730805628536967561e+04 9.934806913396165839e-01
1.730799637230490043e+04 9.971373528125494490e-01
1.730793645965490941e+04 9.970881499278635429e-01
1.730787654741969527e+04 9.953550113340846606e-01
1.730781663559925437e+04 9.983746586470616524e-01
1.730775672419358307e+04 9.953927335483174765e-01
1.730769681320268501e+04 9.940207678577588357e-01
1.730763690262653836e+04 9.932411496723463351e-01
1.730757699246515404e+04 9.923109399394082208e-01
1.730751708271852112e+04 9.937442611418696448e-01
1.730745717338663599e+04 9.922395203589812196e-01
1.730739726446949862e+04 9.939013901997190148e-01
1.730733735596709448e+04 9.974023468728514530e-01
1.730727744787943448e+04 9.964438608358604510e-01
1.730721754020650042e+04 9.936490348952288221e-01
1.730715763294829230e+04 9.942771405951480457e-01
1.730709772610481014e+04 9.965943847582749981e-01
1.730703781967603936e+04 9.983635951614665549e-01
1.730697791366199090e+04 9.947682381421998343e-01
1.730691800806265019e+04 9.993494286439987828e-01
1.730685810287801360e+04 9.945091060243348435e-01
1.730679819810808112e+04 9.942563201485711266e-01
1.730673829375284186e+04 9.939105543446787872e-01
1.730667838981229579e+04 9.965244359711412647e-01
1.730661848628643929e+04 9.953392347013900743e-01
1.730655858317526145e+04 9.950967560723712468e-01
1.730649868047876953e+04 9.952359563646864249e-01
1.730643877819695990e+04 9.943405454343178240e-01
1.730637887632980710e+04 9.941602359098128394e-01
1.730631897487732567e+04 9.958573035368151194e-01
1.730625907383950835e+04 9.968252889719865228e-01
1.730619917321634784e+04 9.941245510951327580e-01
1.730613927300784417e+04 9.970934765603532979e-01
1.730607937321398640e+04 9.963717582695628128e-01
1.730601947383477454e+04 9.948344800587883840e-01
1.730595957487020496e+04 9.941954785680600093e-01
1.730589967632026674e+04 9.935052972766423851e-01
1.730583977818496714e+04 9.928845410410532812e-01
1.730577988046429164e+04 9.937630897115560247e-01
1.730571998315824385e+04 9.947728366702899283e-01
1.730566008626681651e+04 9.972754950015668696e-01
1.730560018978999506e+04 9.985049564085610729e-01
1.730554029372779405e+04 9.933273725075919547e-01
1.730548039808019166e+04 9.949604014651646233e-01
1.730542050284719517e+04 9.948148622945688357e-01
1.730536060802879365e+04 9.969938357797480943e-01
