Filename,Object,DateObs,setting,WaveMin,WaveMax
/HD23180/RED_564/HD23180_w564_redu_20140923_O1.fits,HD23180,2014-09-23T08:52:57.637,564,5654.6,5749.7
/HD23180/RED_564/HD23180_w564_redu_20160819_O4.fits,HD23180,2016-08-19T09:38:57.799,564,5817.6,5915.4
/HD23180/RED_564/HD23180_w564_redl_20141029_O13.fits,HD23180,2014-10-29T06:44:17.535,564,5041.6,5127.0
/HD23180/RED_564/HD23180_w564_n10_20160819_U.fits,HD23180,2016-08-19T09:45:17.992,564,5654.5,6686.5
/HD23180/RED_564/HD23180_w564_redl_20140923_O24.fits,HD23180,2014-09-23T08:52:57.637,564,5550.7,5644.3
/HD23180/RED_564/HD23180_w564_n3_20140923_L.fits,HD23180,2014-09-23T08:52:57.637,564,4582.9,5644.3
/HD23180/RED_564/HD23180_w564_n10_20160819_L.fits,HD23180,2016-08-19T09:45:17.992,564,4583.1,5644.3
/HD23180/RED_564/HD23180_w564_redl_20160819_O4.fits,HD23180,2016-08-19T09:38:57.799,564,4689.7,4769.5
/HD23180/RED_564/HD23180_w564_redl_20141029_O8.fits,HD23180,2014-10-29T06:44:17.535,564,4839.8,4922.0
/HD23180/RED_564/HD23180_w564_redu_20160819_O5.fits,HD23180,2016-08-19T09:38:57.799,564,5874.1,5972.8
/HD23180/RED_564/HD23180_w564_redl_20141029_O2.fits,HD23180,2014-10-29T06:44:17.535,564,4617.9,4696.6
/HD23180/RED_564/HD23180_w564_redl_20140923_O23.fits,HD23180,2014-09-23T08:52:57.637,564,5500.2,5593.0
/HD23180/RED_564/HD23180_w564_redl_20160819_O16.fits,HD23180,2016-08-19T09:38:57.799,564,5171.0,5258.4
/HD23180/RED_564/HD23180_w564_redl_20160819_O10.fits,HD23180,2016-08-19T09:38:57.799,564,4918.6,5002.0
/HD23180/RED_564/HD23180_w564_redl_20141029_O20.fits,HD23180,2014-10-29T06:44:17.535,564,5354.1,5444.5
/HD23180/RED_564/HD23180_w564_redl_20160819_O21.fits,HD23180,2016-08-19T09:38:57.799,564,5402.0,5493.1
/HD23180/RED_564/HD23180_w564_redu_20140923_O9.fits,HD23180,2014-09-23T08:52:57.637,564,6111.7,6214.1
/HD23180/RED_564/HD23180_w564_redu_20160819_O2.fits,HD23180,2016-08-19T09:38:57.799,564,5707.8,5803.9
/HD23180/RED_564/HD23180_w564_redl_20160819_O18.fits,HD23180,2016-08-19T09:38:57.799,564,5261.0,5349.9
/HD23180/RED_564/HD23180_w564_redl_20140923_O9.fits,HD23180,2014-09-23T08:52:57.637,564,4878.8,4961.6
/HD23180/RED_564/HD23180_w564_redu_20160819_O9.fits,HD23180,2016-08-19T09:38:57.799,564,6111.5,6214.0
/HD23180/RED_564/HD23180_w564_redl_20160819_O22.fits,HD23180,2016-08-19T09:38:57.799,564,5450.6,5542.6
/HD23180/RED_564/HD23180_w564_redl_20141029_O19.fits,HD23180,2014-10-29T06:44:17.535,564,5307.1,5396.8
