Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
,,4.867982263018141,0.2116429491878201,4.347652430775329,646027854159.5333,26205025291.99069,4.056330562725162,29.99135840547698,0.1564422433407885,0.5216244000212382,"(1, 400000000000.0, 29.97932075698036)",,,
HD 116852,6,5.999999999909016,,,681173201367.4847,,,8.79847565943329,,,"(8, 630000000000.0, 8.798475630917531)",14675830.46102876,16966.277989628623,
,,5.99999998851766,,,570449165183.0591,,,-9.875649412917394,,,"(8, 530000000000.0, -9.875649318974675)",,,
,,3.907822046239292,,,258082880290.86655,,,-20.18204296573219,,,"(3, 200000000000.0, -20.182043035790336)",,,
,,5.9999999999090186,,,58230995371.29076,,,-44.78814385794804,,,"(5, 50000000000.0, -44.788143790503526)",,,
,,5.999999999909045,,,87527570891.18787,,,22.46853097188288,,,"(5, 50000000000.0, 22.468531605744765)",,,
,,4.808197618889518,,,184954368175.6811,,,-1.0439645999025151,,,"(5, 200000000000.0, -1.0439646709999766)",,,
HD 122879,4,5.999999999915407,0.3440421932091665,5.734036553566951,417541468772.2784,2298066649.767771,0.5503804583829508,-21.85993146283873,0.8415456750568533,3.8497178112724524,"(5, 300000000000.0, -20.85993146288968)",100497987.08455214,124071.58899327424,
,,5.999999999909055,514.1854611994422,8569.757686787267,350950242843.13666,8808036293.41396,2.5097678297806065,-0.4163195007353104,0.0659206454623132,15.83414789503808,"(5, 300000000000.0, -0.2024045798364021)",,,
,,5.003235885682296,0.179530185876257,3.588281463802587,103811381634.94183,4747124771.040227,4.5728365197312755,10.591596215271885,0.0089764323809209,0.08475051539425096,"(5, 100000000000.0, 11.591596215267504)",,,
,,5.999999999915175,2.5104215014269995,41.840358357708176,297407306272.51654,6193868071.153837,2.082621354795618,-12.321531829545098,0.0802430458532279,0.6512424507220578,"(5, 200000000000.0, -13.20604648211289)",,,
HD 124314,4,3.590682198083882,0.0561147199927116,1.5627871501035777,588618513535.011,28955990496.721954,4.919313584417126,-21.30179294680121,0.0485250875500649,0.22779813732698817,"(2, 500000000000.0, -21.36846132049414)",35780545.85984642,71848.48566234221,
,,5.999999994385036,0.3557794845443295,5.92965808128796,344951130547.2628,34579076260.74732,10.02434060902709,-14.626675427284116,0.3604450455484245,2.464299200049673,"(4, 300000000000.0, -13.940436666275453)",,,
,,5.999999999909077,483.1351890194201,8052.253150445691,432545264495.6705,18850194985.65736,4.357970490703647,-0.5694162700993071,0.1227631353119689,21.559470945668416,"(5, 400000000000.0, -0.0972039998396674)",,,
,,5.406537446151802,1.206450235918168,22.314656061004072,34609173023.16511,14255495208.384945,41.189933081738914,9.100890091441077,0.2107082411392949,2.315248717677134,"(3, 80000000000.0, 8.100890091474941)",,,
HD 135591,3,5.999999999925158,0.1320231381723494,2.2003856362332703,590025836280.5924,2253876053.6659784,0.3819961627229704,2.573203539029418,0.0185254486500601,0.7199371666124663,"(5, 500000000000.0, 2.2859878655176584)",1902991547.7833054,2390692.8992252583,
,,5.999999999883968,0.222255960714955,3.704266011987552,182095198121.6865,4232653244.797096,2.3244178256521586,-10.570285663069498,0.0605220437197752,0.5725677209578861,"(5, 200000000000.0, -10.001435733745982)",,,
,,4.452302147858288,0.4805423349447788,10.793120479838421,20850639640.308125,2729942119.075023,13.092845908657605,-21.262903829684323,0.1661728307521368,0.7815152252165543,"(3, 30000000000.0, -22.26290382818987)",,,
HD 143275,3,4.904476275208663,0.1589452050976838,3.2408191247886386,99241478039.85904,3131194943.1897683,3.1551272764520544,-28.16892251702842,0.1284426745058421,0.45597297670224024,"(5, 100000000000.0, -28.01989290076548)",11637825.742795546,16052.173438338683,
,,4.626324550122634,0.0966244643208595,2.0885794603039294,64510911752.388016,918037699.7415978,1.423073515477968,-12.00012264807418,0.0595874315291204,0.49655685426417856,"(5, 80000000000.0, -12.388156601137023)",,,
,,3.8374404598727314,1.4785295744729892,38.5290557582234,6698860456.004321,3007926133.8058195,44.902056902973044,-36.70399248384431,0.0581988341360638,0.1585626799637143,"(5, 10000000000.0, -37.70399248384178)",,,
HD 144217,3,1.4984439132524991,0.0212878006187231,1.4206604885541647,72230393354.8011,262201990.45224336,0.3630078396005509,-8.282940702672656,0.0083121704499395,0.10035289093953566,"(1, 80000000000.0, -8.360765220605535)",221693902.0318028,286796.76847581216,
,,3.5265031720812057,0.0548202336676572,1.5545210366365394,72608388618.487,781698506.9601188,1.0765953105879678,-28.7609432317765,0.0362625767664129,0.12608271041106967,"(5, 80000000000.0, -28.701595055801626)",,,
,,0.7915205687455588,0.2007216712321088,25.358996235590254,16050234873.81513,686069465.6782666,4.274513557415552,-22.99680266651292,0.0534831891428254,0.23256793528391495,"(5, 40000000000.0, -23.915517447495453)",,,
HD 144470,3,5.405834889336495,0.065317967691544,1.208286398468989,95482974306.90382,846956890.107181,0.8870239917169636,-28.49316475384733,0.0432468060921232,0.15177958105297423,"(1, 100000000000.0, -29.31450978669125)",339855829.9913128,413953.5079065929,
,,3.664007861967225,0.0658722726955589,1.7978201788080153,65322050141.69451,734983351.2344689,1.125168836005861,-8.14131096988146,0.0405498006102651,0.4980745823403368,"(1, 100000000000.0, -8.633334309203645)",,,
,,2.7102016214263007,0.330051751299683,12.178125372310356,10846552439.22058,674888677.2016524,6.22214921269628,9.639985853170153,0.1794708031963333,1.861733055731752,"(1, 10000000000.0, 10.362451704791976)",,,
HD 145502,2,3.1944156766373197,0.0315240175056468,0.9868476960027736,118274508536.39934,670435342.2710844,0.5668468637641864,-9.082685886464636,0.0181741425251884,0.20009656562352549,"(2, 100000000000.0, -8.930086416148562)",655254791.2896868,835784.172563376,
,,5.99999990672813,0.0290436515772877,0.4840608671463387,100028732023.09088,848991800.0195199,0.8487479375661151,-28.570070590230323,0.0444006243914417,0.15540957188472862,"(5, 100000000000.0, -28.694042786210748)",,,
HD 147084,5,4.700760504289111,,,702091765987.5548,,,-30.32920353892603,,,"(5, 900000000000.0, -29.329203538949866)",19186590813.30164,22129862.529759675,
,,5.999983565939743,,,5304570456419.025,,,-13.552240496738436,,,"(8, 5000000000000.0, -14.40890219927097)",,,
,,5.999999999909008,,,949052240407.5446,,,3.534537940490251,,,"(5, 900000000000.0, 2.534537940520136)",,,
,,5.003400250276401,,,1475805830884.333,,,-21.73703379580393,,,"(5, 1000000000000.0, -22.737033793403537)",,,
,,4.596817482366222,,,1473371914335.8826,,,-5.644885847515923,,,"(5, 2000000000000.0, -4.644885847548796)",,,
HD 147165,3,2.685446992100633,0.0380836833731231,1.4181506276291442,245395954900.67865,3281373016.0715027,1.3371748598706945,-5.544519373700024,0.0232175128062716,0.41874707691350094,"(2, 200000000000.0, -5.761191237855999)",13772179.05482745,20403.228229374,
,,5.999999996018659,0.3266261161593474,5.44376860626804,110137570694.7811,3975446060.506952,3.609527643862704,-14.484151131805536,0.1433647606377662,0.989804368465568,"(3, 50000000000.0, -15.48415112650815)",,,
,,3.585341585645609,0.1798891972708805,5.0173517076055125,48704416122.375496,1554807912.9749937,3.1923345699666297,-28.770530336915765,0.1048668503187024,0.3644939773117309,"(1, 20000000000.0, -27.9846472168089)",,,
HD 147683,5,3.253271772780892,0.097004808796531,2.9817616102085265,169073651940.20978,3989813238.29706,2.359807807137208,-0.5530674365125604,0.0395070441117598,7.143259845648601,"(3, 200000000000.0, -0.4789848712899348)",25312536.35161185,37723.60112013688,
,,5.030811454988467,0.215387559374437,4.2813681510735675,154204794168.15182,4882763967.668953,3.16641515201179,-10.304625450724824,0.0649277357820928,0.6300834134396005,"(3, 150000000000.0, -10.66545445489374)",,,
,,1.678820521550369,0.192433298022084,11.462410397769878,57676538646.926994,4125439527.4475446,7.152716900544009,-18.422174589521187,0.0730233169089069,0.3963881492603141,"(3, 70000000000.0, -18.655329570894576)",,,
,,3.510599671071368,0.2214331913899159,6.307560306992757,59256335851.68843,2857181213.1074395,4.821731165184808,-24.525414731058103,0.1617124720254152,0.6593669212069566,"(3, 40000000000.0, -23.898685115742424)",,,
,,2.4085381701221062,0.2503907369770078,10.395962998764254,30796266407.61481,1921851350.81015,6.240533593822091,7.004518761206266,0.1504127433571829,2.147367270828467,"(3, 30000000000.0, 6.063346569240563)",,,
HD 147888,3,2.159559880230463,0.0363385895229714,1.6826849700084925,230748461198.5958,2996173992.181056,1.2984589264941495,-8.198499681032835,0.0180669983917165,0.2203695687579809,"(3, 300000000000.0, -8.076972333678825)",121009441.67676467,292293.33738348953,
,,5.99999999981318,0.4270849240420662,7.118082067589404,87044592467.23926,5265705982.976345,6.049434931823232,-17.230688334547644,0.0236544128396531,0.13728071903097364,"(5, 100000000000.0, -18.23068833437371)",,,
,,4.201653672179654,0.2345486050710633,5.582292672622602,57266491495.73553,3017605979.9548254,5.269409564194339,-29.030517833975047,0.1743660556897707,0.6006301943594898,"(5, 100000000000.0, -29.36333167284593)",,,
HD 147889,2,1.5361821890767835,,,134859915856.03772,,,-7.184884752653858,,,"(1, 150000000000.0, -7.20030626396492)",10236590.956380563,15009.66415891578,
,,0.1916600352270474,,,83087916228.97067,,,-11.758665166124052,,,"(1, 20000000000.0, -12.758665166093234)",,,
