Object,RA,DEC,DateObs,Setting,Order,WaveMin,WaveMax,Filename
HD 172694,280.568857,-15.85619,2015-09-11T00:45:12.479,346,1,3032.958740234375,3072.074462890625,orders/HD172694_2015-09-11T00:44:35_346nm_blue_O1.fits
HD 133518,226.733053,-52.02978,2015-07-19T23:34:31.152,860,20,8404.869140625,8544.228515625,orders/HD133518_2015-07-19T23:14:27_860nm_redl_O20.fits
HD 180554,289.054655,21.39077,2016-06-13T08:08:53.624,860,19,8289.7412109375,8427.203125,orders/HD180554_2016-06-13T08:00:11_860nm_redl_O19.fits
HD 54662,107.334391,-10.34663,2015-11-21T06:04:38.453,346,28,3672.942626953125,3730.1806640625,orders/HD54662_2015-11-21T05:55:17_346nm_blue_O28.fits
HD 147889,246.350808,-24.46517,2016-08-07T01:24:07.275,860,12,7564.31005859375,7689.91748046875,orders/HD147889_2016-08-07T01:10:05_860nm_redl_O12.fits
HD 152408,253.744713,-41.15105,2016-04-03T08:24:41.458,346,4,3105.595458984375,3154.468017578125,orders/HD152408_2016-04-03T08:14:45_346nm_blue_O4.fits
HD 53975,106.649973,-12.39408,2019-01-01T07:58:30.831,564,17,5215.58984375,5303.7294921875,orders/HD53975_2019-01-01T07:57:05_564nm_redl_O17.fits
HD 303308,161.274769,-59.66833,2017-05-01T02:46:36.336,564,20,5354.11767578125,5444.48486328125,orders/HD303308_2017-05-01T02:45:11_564nm_redl_O20.fits
HD 170740,277.857078,-10.79601,2016-05-05T04:55:55.421,564,5,5874.1318359375,5972.7861328125,orders/HD170740_2016-05-05T04:51:20_564nm_redu_O5.fits
HD 80558,139.676555,-51.56057,2016-02-21T06:38:58.453,860,11,7470.89599609375,7594.96435546875,orders/HD80558_2016-02-21T06:20:08_860nm_redl_O11.fits
HD 55879,108.617574,-10.3163,2015-02-12T01:03:56.586,437,10,4024.357421875,4086.83544921875,orders/HD55879_2015-02-12T00:55:32_437nm_blue_O10.fits
HD 154043,256.329352,-47.06929,2017-07-30T04:07:37.250,860,2,8645.0009765625,8788.2197265625,orders/HD154043_2017-07-30T03:55:25_860nm_redu_O2.fits
HD 68273,122.383442,-47.33651,2018-09-30T09:05:10.976,860,7,9310.04296875,9464.0556640625,orders/HD68273_2018-09-30T09:03:03_860nm_redu_O7.fits
HD 37367,84.826102,29.21512,2017-02-23T01:00:03.302,346,21,3479.51171875,3533.835693359375,orders/HD37367_2017-02-23T00:35:34_346nm_blue_O21.fits
HD 45314,96.815695,14.88906,2018-02-12T03:20:19.378,564,16,5170.998046875,5258.42431640625,orders/HD45314_2018-02-12T03:12:57_564nm_redl_O16.fits
HD 91824,158.694071,-58.15623,2015-02-12T07:51:02.853,564,12,4999.88671875,5084.623046875,orders/HD91824_2015-02-12T07:37:23_564nm_redl_O12.fits
HD 167971,274.524533,-12.24332,2014-09-20T01:47:21.311,860,9,7290.638671875,7411.87353515625,orders/HD167971_2014-09-20T01:19:01_860nm_redl_O9.fits
HD 75860,132.721879,-43.75137,2017-04-30T00:34:09.239,564,4,4689.72119140625,4769.453125,orders/HD75860_2017-04-30T00:12:09_564nm_redl_O4.fits
HD 164906,271.106979,-24.3859,2017-06-15T08:03:56.677,437,9,3989.63037109375,4051.58154296875,orders/HD164906_2017-06-15T07:48:19_437nm_blue_O9.fits
HD 164740,270.917941,-24.37883,2017-05-03T08:41:48.527,860,3,6799.298828125,6912.33740234375,orders/HD164740_2017-05-03T08:41:14_860nm_redl_O3.fits
HD 165319,271.495396,-14.19855,2018-10-06T01:30:02.304,564,18,5260.9609375,5349.83251953125,orders/HD165319_2018-10-06T01:28:36_564nm_redl_O18.fits
HD 124314,213.757146,-61.70741,2017-04-20T06:34:33.096,860,1,8628.4384765625,8664.513671875,orders/HD124314_2017-04-20T06:13:12_860nm_redu_O1.fits
HD 157978,261.578679,7.5956,2016-05-08T06:16:10.289,564,7,4801.466796875,4882.98291015625,orders/HD157978_2016-05-08T05:57:16_564nm_redl_O7.fits
