Object,RA,DEC,DateObs,Setting,Order,WaveMin,WaveMax,Filename
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,12,10106.05859375,10252.287109375,orders/HD184915_2016-06-12T05_38_03_860nm_redu_O12.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,10,7399.80859375,7502.34765625,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O10.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,13,10277.05078125,10425.892578125,orders/HD184915_2016-06-12T05_38_03_860nm_redu_O13.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,3,8790.3203125,8915.552734375,orders/HD184915_2016-06-12T05_38_03_860nm_redu_O3.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,4,6896.31005859375,6990.7236328125,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O4.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,3,6819.02978515625,6912.17626953125,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O3.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,20,8424.8486328125,8544.20703125,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O20.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,2,6743.46728515625,6835.37451171875,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O2.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,19,8309.6806640625,8427.16796875,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O19.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,18,8197.6259765625,8313.2900390625,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O18.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,17,8088.560546875,8202.447265625,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O17.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,16,7982.36669921875,8094.521484375,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O16.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,15,7878.9326171875,7989.3984375,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O15.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,14,7778.1513671875,7886.97021484375,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O14.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,13,7679.921875,7787.13525390625,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O13.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,12,7584.1494140625,7689.79541015625,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O12.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,11,7490.70703125,7594.859375,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O11.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,10,7399.57861328125,7502.2392578125,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O10.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,1,6688.17431640625,6760.26025390625,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O1.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,9,9625.630859375,9764.359375,orders/HD184915_2016-06-12T05_38_03_860nm_redu_O9.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,8,9475.5390625,9611.8486328125,orders/HD184915_2016-06-12T05_38_03_860nm_redu_O8.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,7,9330.068359375,9464.0244140625,orders/HD184915_2016-06-12T05_38_03_860nm_redu_O7.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,6,9189.005859375,9320.67578125,orders/HD184915_2016-06-12T05_38_03_860nm_redu_O6.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,5,9052.15625,9181.60546875,orders/HD184915_2016-06-12T05_38_03_860nm_redu_O5.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,4,8919.2900390625,9046.6240234375,orders/HD184915_2016-06-12T05_38_03_860nm_redu_O4.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,2,8665.0390625,8788.2236328125,orders/HD184915_2016-06-12T05_38_03_860nm_redu_O2.fits
HD 184915,294.222652,-7.02796,2014-09-20T02:12:48.062,860,5,6975.36669921875,7071.07666015625,orders/HD184915_2014-09-20T02_11_16_860nm_redl_O5.fits
HD 184915,294.222119,-7.02737,2016-06-12T05:52:32.972,860,1,6689.201171875,6760.4365234375,orders/HD184915_2016-06-12T05_38_03_860nm_redl_O1.fits
